name,url,rating,location,city,area,cuisine,price,reviews,restaurant_type,num_ratings,online_delivery,table_booking,avg_cost_for_two,is_delivering_now,switch_to_order_menu
Marrybrown,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.5,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,4257,Casual Dining,606,No,No,593.0,No,No
McDonald's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"Saket, Delhi",Delhi,Saket,Restaurant,Low,602,Fast Food,1990,Yes,No,155.0,No,Yes
MK Restaurant,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Rohini, Delhi",Delhi,Rohini,Restaurant,High,1711,Fine Dining,2332,No,Yes,2468.0,No,No
MOS Burger,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.1,"Banashankari, Bangalore",Bangalore,Banashankari,Fast Food,Medium,4866,Casual Dining,323,Yes,No,851.0,Yes,Yes
Nando's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.8,"Saket, Delhi",Delhi,Saket,Restaurant,Low,2137,Fast Food,3345,Yes,No,158.0,No,Yes
Olive Garden,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.6,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,High,4186,Fine Dining,2179,No,Yes,1470.0,No,No
Outback Steakhouse,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.5,"Rohini, Delhi",Delhi,Rohini,Restaurant,High,3307,Fine Dining,2731,No,Yes,1236.0,No,No
Panda Express,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Low,1910,Fast Food,1560,No,No,109.0,No,No
Panera Bread,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.9,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,High,4135,Fine Dining,1543,Yes,No,1275.0,No,Yes
Papa John's Pizza,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"Saket, Delhi",Delhi,Saket,Italian,Medium,1294,Casual Dining,489,No,No,721.0,No,No
Paris Baguette,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Medium,4813,Casual Dining,654,No,No,668.0,No,No
Perkins Restaurant and Bakery,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.9,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,High,2275,Fine Dining,2906,No,Yes,2367.0,No,No
The Pizza Company,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Colaba, Mumbai",Mumbai,Colaba,Italian,Medium,1055,Casual Dining,1485,Yes,No,558.0,Yes,Yes
Pizza Hut,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Indiranagar, Bangalore",Bangalore,Indiranagar,Italian,High,1676,Fine Dining,2527,No,Yes,1752.0,No,No
PizzaExpress,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.0,"Andheri, Mumbai",Mumbai,Andheri,Italian,High,222,Fine Dining,2134,Yes,Yes,1500.0,No,Yes
Planet Hollywood,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.8,"Rohini, Delhi",Delhi,Rohini,Restaurant,Low,4600,Fast Food,2164,Yes,No,308.0,Yes,Yes
Pollo Campero,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.6,"Saket, Delhi",Delhi,Saket,Restaurant,Low,472,Fast Food,894,No,No,199.0,No,No
Ponderosa and Bonanza Steakhouses,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.0,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,1847,Fast Food,3151,No,No,397.0,No,No
Popeyes,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,High,2387,Fine Dining,276,No,Yes,1833.0,No,No
Quiznos,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,High,1724,Fine Dining,1114,No,Yes,2360.0,No,No
Rainforest Cafe,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.4,"Andheri, Mumbai",Mumbai,Andheri,Cafe,High,2445,Cafe,2922,No,No,1261.0,No,No
Red Lobster,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,2323,Fine Dining,3075,No,Yes,1715.0,No,No
Red Robin,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,High,4369,Fine Dining,2064,No,Yes,2113.0,No,No
Ruby Tuesday,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,2407,Casual Dining,1940,Yes,No,888.0,No,Yes
Saravana Bhavan,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.8,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,High,3926,Fine Dining,394,No,Yes,2086.0,No,No
Secret Recipe,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.4,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Medium,3294,Casual Dining,387,Yes,Yes,585.0,Yes,Yes
Shake Shack,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.3,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,High,4096,Fine Dining,3676,No,Yes,2130.0,No,No
Shakey's Pizza,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.3,"Connaught Place, Delhi",Delhi,Connaught Place,Italian,High,1894,Fine Dining,1480,No,Yes,1312.0,No,No
Sizzler,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,768,Fast Food,1115,Yes,No,286.0,Yes,Yes
Sonic Drive-In,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Low,3848,Fast Food,2847,Yes,No,342.0,Yes,Yes
Starbucks,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.8,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,Medium,3914,Casual Dining,2434,Yes,Yes,462.0,Yes,Yes
Steak 'n Shake,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Low,703,Fast Food,3510,No,No,251.0,No,No
Subway,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.4,"Fort Kochi, Kochi",Kochi,Fort Kochi,Fast Food,High,3085,Fine Dining,740,No,Yes,1875.0,No,No
Swensen's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.7,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,1901,Fast Food,3508,Yes,No,228.0,Yes,Yes
Taco Bell,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Saket, Delhi",Delhi,Saket,Restaurant,Low,1849,Fast Food,406,No,Yes,350.0,No,No
Tata Starbucks,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.9,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,High,92,Fine Dining,1831,No,Yes,2393.0,No,No
Telepizza,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.7,"Andheri, Mumbai",Mumbai,Andheri,Italian,Low,4658,Fast Food,1489,Yes,No,189.0,No,Yes
TGI Fridays,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.0,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,Low,2151,Fast Food,3997,No,Yes,201.0,No,No
Tim Hortons,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.3,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,2682,Casual Dining,254,No,No,1174.0,No,No
TKK Fried Chicken,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Indiranagar, Bangalore",Bangalore,Indiranagar,Fast Food,High,4257,Fine Dining,1583,No,Yes,2293.0,No,No
Tony Roma's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.5,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Medium,1507,Casual Dining,2744,Yes,No,910.0,Yes,Yes
Waffle House,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.8,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Low,514,Fast Food,4435,No,No,279.0,No,No
Wendy's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.6,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,High,2172,Fine Dining,2582,No,Yes,2462.0,No,No
Whataburger,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.9,"Saket, Delhi",Delhi,Saket,Fast Food,Medium,1173,Casual Dining,2006,Yes,Yes,716.0,No,Yes
White Castle,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.0,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,High,4507,Fine Dining,2699,No,Yes,2309.0,No,No
Yoshinoya,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.5,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,Medium,3243,Casual Dining,3140,Yes,No,940.0,Yes,Yes
% Arabica,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.9,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,Low,529,Fast Food,4166,Yes,No,163.0,Yes,Yes
321 Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.5,"Rohini, Delhi",Delhi,Rohini,Cafe,Low,4659,Cafe,4122,No,No,350.0,No,No
5 to go,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.4,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,2768,Casual Dining,590,No,Yes,681.0,No,No
7 Brew,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.8,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,2705,Casual Dining,3136,Yes,Yes,674.0,Yes,Yes
85C Bakery Cafe,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.0,"Banashankari, Bangalore",Bangalore,Banashankari,Cafe,High,4308,Cafe,689,Yes,No,2296.0,Yes,Yes
Aida,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.8,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Low,3096,Fast Food,612,Yes,No,317.0,Yes,Yes
AMT Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.6,"Rohini, Delhi",Delhi,Rohini,Cafe,Medium,1469,Cafe,1985,Yes,No,978.0,Yes,Yes
ANGELINUS,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,5.0,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,High,4023,Fine Dining,1829,No,No,2311.0,No,No
Arcaffe,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.7,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,11,Casual Dining,2443,Yes,Yes,789.0,Yes,Yes
Aroma Café,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.0,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Low,19,Fast Food,1827,Yes,No,298.0,No,Yes
Aroma Espresso Bar,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.6,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Medium,4660,Casual Dining,2464,No,No,642.0,No,No
Aroma Joe's,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.6,"Saket, Delhi",Delhi,Saket,Restaurant,High,111,Fine Dining,1165,No,Yes,1599.0,No,No
Au Bon Pain,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.8,"Saket, Delhi",Delhi,Saket,Restaurant,High,501,Fine Dining,1497,No,Yes,2162.0,No,No
Barista,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.4,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,164,Casual Dining,360,Yes,No,582.0,Yes,Yes
Barista Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.1,"Banashankari, Bangalore",Bangalore,Banashankari,Cafe,Medium,2064,Cafe,1735,Yes,No,1119.0,Yes,Yes
Bewley's,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.8,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,1751,Casual Dining,1971,Yes,Yes,1123.0,Yes,Yes
Biggby Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.3,"Colaba, Mumbai",Mumbai,Colaba,Cafe,High,4433,Cafe,529,Yes,No,2440.0,No,Yes
Black Sheep Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.1,"Kakkanad, Kochi",Kochi,Kakkanad,Cafe,Medium,4526,Cafe,2536,Yes,Yes,806.0,No,Yes
Blank Street Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.8,"Rohini, Delhi",Delhi,Rohini,Cafe,High,230,Cafe,1665,Yes,Yes,1389.0,No,Yes
Blenz Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.6,"Banashankari, Bangalore",Bangalore,Banashankari,Cafe,High,2450,Cafe,1425,Yes,No,1200.0,Yes,Yes
Blue Bottle Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.9,"Whitefield, Bangalore",Bangalore,Whitefield,Cafe,High,2013,Cafe,655,Yes,No,2121.0,Yes,Yes
Bootlegger,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.5,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,389,Fine Dining,1177,No,Yes,1569.0,No,No
Bo's Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.2,"Kakkanad, Kochi",Kochi,Kakkanad,Cafe,Low,182,Cafe,3159,Yes,No,240.0,Yes,Yes
Boston Tea Party,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.7,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,High,1901,Fine Dining,817,No,Yes,2244.0,No,No
Bourbon Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.8,"Connaught Place, Delhi",Delhi,Connaught Place,Cafe,Medium,4171,Cafe,3141,No,No,1072.0,No,No
Bridgehead Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.3,"Connaught Place, Delhi",Delhi,Connaught Place,Cafe,Medium,1658,Cafe,979,Yes,No,1158.0,Yes,Yes
Brown Coffee,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.8,"Saket, Delhi",Delhi,Saket,Cafe,Medium,333,Cafe,2915,No,Yes,805.0,No,No
Café Amazon,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,2.9,"Rohini, Delhi",Delhi,Rohini,Restaurant,Low,832,Fast Food,1206,Yes,No,350.0,Yes,Yes
Cafe Barbera,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.4,"Indiranagar, Bangalore",Bangalore,Indiranagar,Cafe,Medium,546,Cafe,3604,Yes,No,435.0,Yes,Yes
Café Café,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.0,"Saket, Delhi",Delhi,Saket,Restaurant,Low,3547,Fast Food,431,No,No,290.0,No,No
Café Coffee Day,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.4,"Connaught Place, Delhi",Delhi,Connaught Place,Cafe,High,1153,Cafe,2899,Yes,No,2170.0,Yes,Yes
Café Hillel,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.5,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Medium,1442,Casual Dining,3687,Yes,No,989.0,Yes,Yes
Cafe!n,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.3,"Kakkanad, Kochi",Kochi,Kakkanad,Cafe,Medium,1724,Cafe,1738,No,No,1000.0,No,No
Caffe Bene,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,4.0,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,2720,Fine Dining,4020,No,Yes,2277.0,No,No
Caffè-Pasticceria Cova,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains,3.7,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Low,1475,Fast Food,197,Yes,No,171.0,No,Yes
